,Unnamed: 0,0,no_contract,fix_str,langs,tokenized,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
40,40,heriansyah,['heriansyah'],heriansyah,id,['heriansyah'],['heriansyah'],['heriansyah'],['heriansyah'],"[('heriansyah', 'NN')]","[('heriansyah', 'n')]",['heriansyah']
43,43,tagallahir,['tagallahir'],tagallahir,id,['tagallahir'],['tagallahir'],['tagallahir'],['tagallahir'],"[('tagallahir', 'NN')]","[('tagallahir', 'n')]",['tagallahir']
72,72,ignatius,['ignatius'],ignatius,id,['ignatius'],['ignatius'],['ignatius'],['ignatius'],"[('ignatius', 'NN')]","[('ignatius', 'n')]",['ignatius']
107,107,marnah,['marnah'],marnah,id,['marnah'],['marnah'],['marnah'],['marnah'],"[('marnah', 'NN')]","[('marnah', 'n')]",['marnah']
108,108,iklanya,['iklanya'],iklanya,id,['iklanya'],['iklanya'],['iklanya'],['iklanya'],"[('iklanya', 'NN')]","[('iklanya', 'n')]",['iklanya']
119,119,zirangga,['zirangga'],zirangga,id,['zirangga'],['zirangga'],['zirangga'],['zirangga'],"[('zirangga', 'NN')]","[('zirangga', 'n')]",['zirangga']
135,135,dipairing,['dipairing'],dipairing,id,['dipairing'],['dipairing'],['dipairing'],['dipairing'],"[('dipairing', 'VBG')]","[('dipairing', 'v')]",['dipairing']
136,136,nuhun,['nuhun'],nuhun,id,['nuhun'],['nuhun'],['nuhun'],['nuhun'],"[('nuhun', 'NN')]","[('nuhun', 'n')]",['nuhun']
154,154,ketingggalan,['ketingggalan'],ketingggalan,id,['ketingggalan'],['ketingggalan'],['ketingggalan'],['ketingggalan'],"[('ketingggalan', 'NN')]","[('ketingggalan', 'n')]",['ketingggalan']
164,164,nrmawati,['nrmawati'],nrmawati,id,['nrmawati'],['nrmawati'],['nrmawati'],['nrmawati'],"[('nrmawati', 'NNS')]","[('nrmawati', 'n')]",['nrmawati']
193,193,madiri,['madiri'],madiri,id,['madiri'],['madiri'],['madiri'],['madiri'],"[('madiri', 'NN')]","[('madiri', 'n')]",['madiri']
218,218,enggar,['enggar'],enggar,id,['enggar'],['enggar'],['enggar'],['enggar'],"[('enggar', 'NN')]","[('enggar', 'n')]",['enggar']
220,220,makasihhh,['makasihhh'],makasihhh,id,['makasihhh'],['makasihhh'],['makasihhh'],['makasihhh'],"[('makasihhh', 'NN')]","[('makasihhh', 'n')]",['makasihhh']
257,257,sutria,['sutria'],sutria,id,['sutria'],['sutria'],['sutria'],['sutria'],"[('sutria', 'NNS')]","[('sutria', 'n')]",['sutria']
261,261,dibohongin,['dibohongin'],dibohongin,id,['dibohongin'],['dibohongin'],['dibohongin'],['dibohongin'],"[('dibohongin', 'NN')]","[('dibohongin', 'n')]",['dibohongin']
270,270,aplikasikanya,['aplikasikanya'],aplikasikanya,id,['aplikasikanya'],['aplikasikanya'],['aplikasikanya'],['aplikasikanya'],"[('aplikasikanya', 'NN')]","[('aplikasikanya', 'n')]",['aplikasikanya']
276,276,truatama,['truatama'],truatama,id,['truatama'],['truatama'],['truatama'],['truatama'],"[('truatama', 'NN')]","[('truatama', 'n')]",['truatama']
277,277,juniah,['juniah'],juniah,id,['juniah'],['juniah'],['juniah'],['juniah'],"[('juniah', 'NN')]","[('juniah', 'n')]",['juniah']
