,langs
0,pl
1,ru
2,it
3,ms
4,nl
5,ce
6,de
9,hr
10,it
11,nl
15,es
16,fi
17,af
18,pl
20,de
22,ms
23,it
24,wa
27,sv
28,lt
30,hr
31,de
32,ms
33,es
34,hu
36,fr
37,ms
38,af
40,id
41,it
42,es
43,id
46,af
49,ms
50,it
54,tr
57,so
61,cy
62,ce
63,bn
64,ms
65,it
66,it
67,pl
68,hu
69,sw
70,nl
71,de
72,id
73,it
75,sl
76,es
77,hr
78,fr
79,la
80,ta
83,cs
84,it
86,de
88,ba
89,sq
90,sv
91,de
92,eu
94,ms
99,tr
100,ro
101,nl
102,sv
104,tr
105,fr
106,nl
107,id
108,id
109,de
110,eu
111,bn
112,cy
113,es
114,fi
115,de
116,ms
117,fy
119,id
120,pt
122,it
123,it
125,eu
126,sl
127,ms
128,sv
129,sr
130,pl
131,de
133,fi
135,id
136,id
139,fi
140,tr
144,de
145,fr
146,gd
148,nl
149,pl
153,pl
154,id
156,eo
157,fi
159,fr
160,nl
161,de
164,id
165,kw
166,tl
168,oc
169,de
170,it
172,nl
173,es
175,nl
176,fi
177,it
178,et
179,sk
180,de
181,fa
183,tr
184,fr
185,hu
187,es
188,la
190,az
192,fr
193,id
195,gu
197,pl
199,oc
200,pt
202,fr
204,gd
205,nn
207,jv
208,nl
209,uz
212,so
213,de
214,pl
216,it
218,id
220,id
221,it
224,qu
225,ce
226,it
228,it
230,pt
235,de
237,it
238,es
239,pl
241,fi
242,ca
244,lt
252,ce
253,pt
254,fr
255,wa
257,id
260,it
261,id
262,de
264,sv
268,it
269,ms
270,id
272,ce
273,eu
275,zh
276,id
277,id
280,eu
283,fr
284,lt
285,eo
286,oc
288,ro
289,af
293,zh
295,id
297,id
298,eu
299,ms
301,eo
302,fr
303,it
306,es
308,id
309,tr
311,jb
312,eo
314,oc
315,tr
316,id
318,de
320,hu
321,de
323,nd
324,it
325,br
330,fr
331,fr
332,it
333,id
334,ja
335,ru
336,de
337,de
338,id
340,eo
341,pt
342,de
343,hu
345,ce
348,id
349,ms
350,fi
351,id
352,fi
353,es
354,eo
355,pt
356,cs
357,id
358,fr
362,de
363,id
369,de
370,it
371,mi
373,es
374,id
376,ms
378,cs
381,fi
382,de
383,pl
384,ms
386,pl
388,tr
390,hu
391,hu
395,ga
396,ca
397,sw
398,fi
399,ms
400,id
401,de
402,it
404,et
406,fi
407,cy
408,fi
409,nl
410,ba
412,ms
413,tr
414,nl
415,ce
417,sl
418,ca
419,gl
420,de
422,zh
424,ce
427,fr
429,gd
430,tr
431,id
436,ro
437,it
438,uz
439,ce
441,nl
442,it
443,ms
444,de
445,ja
446,eo
447,id
449,de
450,it
451,sv
452,tr
453,nl
454,de
455,eo
456,tr
457,ms
458,id
459,sk
460,tr
462,zh
463,pl
464,fr
465,il
468,hu
469,sl
471,id
472,de
473,id
474,it
475,id
476,ce
478,nl
479,nl
480,sr
481,de
482,et
483,de
484,id
485,hr
486,eo
487,sv
489,ro
490,de
495,ja
496,tl
498,it
500,de
501,de
503,fi
504,it
505,fr
507,id
508,sv
509,es
511,de
512,it
513,fi
514,de
515,tr
519,id
520,hu
521,es
522,fi
523,ms
525,ms
526,id
529,ms
531,fr
532,su
535,es
536,nl
537,ko
538,sl
539,hr
540,es
541,id
542,hu
544,hr
547,sv
548,de
549,zh
550,de
552,de
553,id
555,fr
556,it
557,tl
558,id
559,gl
560,nl
562,fr
563,af
565,id
567,ja
568,tl
569,sr
570,lv
574,hu
578,nl
582,it
583,sv
584,id
585,mi
586,ce
587,it
588,ru
589,sk
592,ce
593,fi
595,tr
596,nl
597,jv
599,tr
600,id
601,de
602,ms
603,hr
605,zh
606,fi
607,nl
608,hu
609,hr
612,id
613,fr
614,eu
615,id
617,da
619,fr
623,de
625,br
626,sr
629,no
630,ro
631,nl
632,id
633,nl
634,de
635,it
637,it
638,hu
640,de
641,it
643,nl
644,de
646,hu
647,id
648,de
649,sh
650,de
652,pl
653,pt
658,id
659,eo
660,id
661,no
662,fi
663,ms
664,tr
665,id
666,fr
667,ca
669,sr
671,it
672,id
673,nn
676,de
677,sv
681,id
683,hs
684,pl
686,id
687,sw
688,tl
694,tr
696,fi
697,de
698,id
699,id
700,id
702,id
704,ce
706,sl
707,id
709,eo
713,id
714,fi
715,it
718,sh
719,de
720,it
721,de
722,fi
724,et
725,sv
731,fi
732,de
733,nl
734,lt
735,tr
736,pl
737,de
738,es
739,fi
740,tr
741,tr
742,my
743,ms
744,cs
745,tr
746,sw
747,nd
749,id
750,ga
751,ro
753,ro
754,it
756,nd
758,ce
759,sk
760,tr
761,de
762,id
765,eo
767,fr
769,id
770,fr
771,jb
772,fi
773,id
775,id
777,id
778,sv
779,it
780,id
781,hu
782,hu
784,pl
785,et
786,id
787,pt
788,tl
789,it
790,hu
791,bn
793,pt
794,sv
796,id
797,it
798,cs
800,ms
801,it
802,fi
803,de
804,sv
805,tr
806,cs
807,az
808,eu
809,eu
811,sw
813,nl
814,io
815,es
817,no
818,zh
819,pt
820,it
821,es
823,id
824,it
826,it
827,ca
828,km
830,id
833,pt
834,de
835,zh
836,da
837,id
840,it
842,fi
843,es
844,et
846,de
847,sv
848,ms
849,id
850,ja
852,tl
853,ca
856,ca
858,es
859,de
863,it
864,id
865,ro
866,al
867,et
869,eo
870,ro
873,id
875,eu
877,ar
879,fr
881,it
882,id
883,eo
884,gu
885,ce
886,de
887,ce
888,sv
889,de
890,id
891,it
894,tl
895,pl
896,it
897,tr
898,zh
899,id
900,id
902,nl
903,fr
904,pt
905,et
906,hu
907,eo
908,it
909,ce
912,pt
913,ar
914,id
917,fr
918,fr
920,ce
923,es
924,fr
925,ms
926,fr
927,it
930,eo
932,sl
933,et
936,it
938,id
939,ca
945,fi
947,fr
949,nl
951,pt
952,it
953,de
954,fr
956,it
957,lt
958,it
959,de
960,ur
961,id
964,jv
966,de
967,es
968,nl
969,it
970,sl
972,ml
973,es
975,es
976,eu
977,de
983,fi
985,bo
986,fi
987,ce
988,sh
989,es
990,eu
992,de
993,it
996,et
997,id
1001,ms
1003,it
1004,fr
1005,cs
1006,vi
1008,it
1009,pl
1011,id
1013,pl
1014,ms
1016,cy
1018,tr
1019,de
1020,es
1021,fi
1023,ms
1025,it
1028,de
1029,pa
1030,vi
1031,fr
1032,no
1033,sv
1034,jb
1035,de
1036,nl
1037,id
1038,eo
1039,eo
1040,de
1042,fi
1044,id
1045,pl
1047,id
1053,de
1054,id
1055,tr
1056,id
1057,ja
1058,eu
1059,sq
1060,sr
1061,ce
1062,id
1063,sv
1064,pl
1065,vi
1068,it
1069,es
1070,br
1072,km
1073,cy
1074,fr
1075,it
1077,de
1080,fr
1082,kw
1084,oc
1087,ga
1088,it
1091,es
1092,nl
1094,es
1095,pl
1096,fr
1097,pl
