,Unnamed: 0,0,no_contract,fix_str,langs,tokenized,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
0,0,mix,['mix'],mix,pl,['mix'],['mix'],['mix'],['mix'],"[('mix', 'NN')]","[('mix', 'n')]",['mix']
1,1,dulatep,['dulatep'],dulatep,ru,['dulatep'],['dulatep'],['dulatep'],['dulatep'],"[('dulatep', 'NN')]","[('dulatep', 'n')]",['dulatep']
2,2,rosidi,['rosidi'],rosidi,it,['rosidi'],['rosidi'],['rosidi'],['rosidi'],"[('rosidi', 'NN')]","[('rosidi', 'n')]",['rosidi']
3,3,syafri,['syafri'],syafri,ms,['syafri'],['syafri'],['syafri'],['syafri'],"[('syafri', 'NN')]","[('syafri', 'n')]",['syafri']
4,4,hiro,['hiro'],hiro,nl,['hiro'],['hiro'],['hiro'],['hiro'],"[('hiro', 'NN')]","[('hiro', 'n')]",['hiro']
5,5,munawwarah,['munawwarah'],munawwarah,ce,['munawwarah'],['munawwarah'],['munawwarah'],['munawwarah'],"[('munawwarah', 'NN')]","[('munawwarah', 'n')]",['munawwarah']
6,6,inung,['inung'],inung,de,['inung'],['inung'],['inung'],['inung'],"[('inung', 'NN')]","[('inung', 'n')]",['inung']
9,9,yonika,['yonika'],yonika,hr,['yonika'],['yonika'],['yonika'],['yonika'],"[('yonika', 'NN')]","[('yonika', 'n')]",['yonika']
10,10,prcuma,['prcuma'],prcuma,it,['prcuma'],['prcuma'],['prcuma'],['prcuma'],"[('prcuma', 'NN')]","[('prcuma', 'n')]",['prcuma']
11,11,karwina,['karwina'],karwina,nl,['karwina'],['karwina'],['karwina'],['karwina'],"[('karwina', 'NN')]","[('karwina', 'n')]",['karwina']
15,15,adiatmojo,['adiatmojo'],adiatmojo,es,['adiatmojo'],['adiatmojo'],['adiatmojo'],['adiatmojo'],"[('adiatmojo', 'NN')]","[('adiatmojo', 'n')]",['adiatmojo']
16,16,eriin,['eriin'],eriin,fi,['eriin'],['eriin'],['eriin'],['eriin'],"[('eriin', 'NN')]","[('eriin', 'n')]",['eriin']
17,17,kykx,['kykx'],kykx,af,['kykx'],['kykx'],['kykx'],['kykx'],"[('kykx', 'NN')]","[('kykx', 'n')]",['kykx']
18,18,amplikasi,['amplikasi'],amplikasi,pl,['amplikasi'],['amplikasi'],['amplikasi'],['amplikasi'],"[('amplikasi', 'NN')]","[('amplikasi', 'n')]",['amplikasi']
20,20,folm,['folm'],folm,de,['folm'],['folm'],['folm'],['folm'],"[('folm', 'NN')]","[('folm', 'n')]",['folm']
22,22,lihatny,['lihatny'],lihatny,ms,['lihatny'],['lihatny'],['lihatny'],['lihatny'],"[('lihatny', 'NN')]","[('lihatny', 'n')]",['lihatny']
